Date,Air-Temp
8/31/2014,26.3513737
9/1/2014,26.8701115
9/2/2014,26.8315372
9/3/2014,25.0647221
9/4/2014,25.2825
9/5/2014,25.5011234
9/6/2014,24.3859806
9/7/2014,24.2880497
9/8/2014,24.4548893
9/9/2014,25.3078861
9/10/2014,24.5005741
9/11/2014,25.8687382
9/12/2014,24.415247
9/13/2014,24.65
9/14/2014,24.8929386
9/15/2014,24.5848026
9/16/2014,24.7869511
9/17/2014,23.6625004
9/18/2014,22.9983768
9/19/2014,22.3546391
9/20/2014,22.995
9/21/2014,23.6443119
9/22/2014,22.9186649
9/23/2014,25.5989017
9/24/2014,24.537775
9/25/2014,23.1864262
9/26/2014,22.9160404
9/27/2014,20.8
9/28/2014,18.7128239
9/29/2014,19.086875
9/30/2014,19.4609318
10/1/2014,20.6522465
10/2/2014,21.4584599
10/3/2014,22.3744755
10/4/2014,21.2062626
10/5/2014,19.1886234
10/6/2014,23.3500004
10/7/2014,22.6008244
10/8/2014,19.292841
10/9/2014,22.3513737
10/10/2014,21.5771732
10/11/2014,22.0143986
10/12/2014,20.4300785
10/13/2014,20.3056889
10/14/2014,18.8532963
10/15/2014,20.403955
10/16/2014,21.9546146
10/17/2014,19.2720585
10/18/2014,22.6856022
10/19/2014,18.4609013
10/20/2014,19.4766483
10/21/2014,19.8326359
10/22/2014,18.73602
10/23/2014,17.6393986
10/24/2014,18.6625004
10/25/2014,17.5809879
10/26/2014,12.9750004
10/27/2014,17.1046391
10/28/2014,17.1459599
10/29/2014,17.5149479
10/30/2014,17.0054874
10/31/2014,16.502345
11/1/2014,15.9992008
11/2/2014,17.8378239
11/3/2014,15.815546
11/4/2014,16.0011234
11/5/2014,16.5256901
11/6/2014,18.2896976
11/7/2014,17.8007
11/8/2014,17.3117008
11/9/2014,16.4157963
11/10/2014,16.3970585
11/11/2014,16.0432377
11/12/2014,18.1432133
11/13/2014,16.7483768
11/14/2014,16.7370243
11/15/2014,14.0663395
11/16/2014,14.69012
11/17/2014,15.3138981
11/18/2014,17.2263737
11/19/2014,15.7326603
11/20/2014,15.5258732
11/21/2014,14.4785404
11/22/2014,11.6068363
11/23/2014,12.25468
11/24/2014,12.9025211
11/25/2014,9.48034096
11/26/2014,11.7957096
11/27/2014,14.0062504
11/28/2014,13.4240055
11/29/2014,14.732935
11/30/2014,16.8929386
12/1/2014,15.0842838
12/2/2014,12.81089
12/3/2014,10.5375004
12/4/2014,16.1918888
12/5/2014,14.9190617
12/6/2014,14.7130985
12/7/2014,13.6638737
12/8/2014,10.8081608
12/9/2014,11.77752
12/10/2014,12.7468815
12/11/2014,11.8292179
12/12/2014,11.5388737
12/13/2014,14.0062504
12/14/2014,12.7162724
12/15/2014,12.5878239
12/16/2014,13.3196354
12/17/2014,10.0375004
12/18/2014,11.506525
12/19/2014,12.9755497
12/20/2014,13.1883488
12/21/2014,12.3744755
12/22/2014,10.9352055
12/23/2014,14.1231022
12/24/2014,13.5856266
12/25/2014,14.1625004
12/26/2014,12.0798893
12/27/2014,9.41744423
12/28/2014,11.3595829
12/29/2014,14.1312504
12/30/2014,13.5845585
12/31/2014,10.0927372
